pickup_grid,trips,avg_value,lat,lon,cluster
-256_7360,993,0.06693680765357503,-1.2775,36.8025,2
-255_7363,8520,0.06687455985915493,-1.2725,36.8175,2
-258_7361,2630,0.06678479087452471,-1.2875,36.8075,2
-259_7360,3390,0.06675840707964602,-1.2925,36.8025,2
-236_7385,201,0.0660547263681592,-1.1775,36.9275,5
-253_7369,322,0.06551242236024844,-1.2625,36.847500000000004,2
-249_7381,194,0.06526804123711341,-1.2425,36.9075,2
-262_7352,136,0.0641875,-1.3075,36.7625,2
-261_7370,197,0.06283248730964468,-1.3025,36.8525,2
-251_7380,278,0.06270143884892086,-1.2525,36.9025,2
-257_7361,626,0.06251477635782748,-1.2825,36.8075,2
-263_7354,169,0.06235502958579882,-1.3125,36.7725,2
-260_7369,765,0.062117647058823534,-1.2975,36.847500000000004,2
-261_7368,551,0.06158847549909256,-1.3025,36.8425,2
-241_7381,343,0.060885568513119534,-1.2025000000000001,36.9075,2
-245_7385,189,0.06080423280423281,-1.2225,36.9275,2
-251_7361,658,0.06078077507598784,-1.2525,36.8075,2
-250_7380,206,0.060514563106796114,-1.2475,36.9025,2
-261_7366,1681,0.060301160023795354,-1.3025,36.8325,2
-255_7364,9608,0.06018112510407993,-1.2725,36.8225,2
-255_7362,9432,0.059928859202714166,-1.2725,36.8125,2
-251_7365,117,0.05961965811965812,-1.2525,36.8275,2
-250_7384,106,0.05960377358490566,-1.2475,36.9225,2
-255_7361,6839,0.059533338207340254,-1.2725,36.8075,2
-254_7364,1669,0.058834481725584184,-1.2675,36.8225,2
-242_7359,1558,0.05821726572528883,-1.2075,36.7975,2
-253_7365,8954,0.05795197677015859,-1.2625,36.8275,2
-255_7374,134,0.05776119402985075,-1.2725,36.8725,2
-261_7361,9430,0.0574902704135737,-1.3025,36.8075,2
-261_7369,714,0.05710539215686274,-1.3025,36.847500000000004,2
-247_7363,117,0.056991452991452994,-1.2325,36.8175,2
-263_7355,763,0.056922673656618614,-1.3125,36.7775,2
-263_7356,317,0.056882492113564664,-1.3125,36.7825,2
-264_7370,11562,0.0562313397336101,-1.3175000000000001,36.8525,2
-266_7371,1626,0.05604458794587946,-1.3275000000000001,36.8575,2
-260_7370,1261,0.05594984139571769,-1.2975,36.8525,2
-260_7382,696,0.055942528735632185,-1.2975,36.9125,2
-243_7370,124,0.05545967741935484,-1.2125000000000001,36.8525,2
