pickup_area,trips,avg_mult,surge_rate
neighborhood_75,12601,0.18212933497341482,0.4479009602412507
neighborhood_78,735,0.15739489795918366,0.4925170068027211
neighborhood_72,8454,0.11785220014194464,0.3657440264963331
neighborhood_67,22443,0.11655316802566501,0.3542307178184735
neighborhood_74,5675,0.11150616740088105,0.3282819383259912
neighborhood_19,6912,0.1047531467013889,0.3194444444444444
neighborhood_73,866,0.10414838337182447,0.3441108545034642
neighborhood_77,17799,0.09974296308781393,0.3467048710601719
neighborhood_53,7,0.09528571428571429,0.2857142857142857
neighborhood_52,5,0.0926,0.2
neighborhood_82,86,0.0839796511627907,0.27906976744186046
neighborhood_76,6688,0.0799788053229665,0.2897727272727273
neighborhood_21,1573,0.0767973617291799,0.2530197075651621
neighborhood_79,739,0.06768335588633288,0.2232746955345061
neighborhood_59,51,0.06598039215686274,0.13725490196078433
neighborhood_25,26,0.06411538461538462,0.15384615384615385
neighborhood_23,95,0.06274736842105264,0.1368421052631579
neighborhood_42,103,0.06168932038834952,0.14563106796116504
neighborhood_40,12,0.05933333333333333,0.25
neighborhood_0,59,0.057911016949152544,0.1864406779661017
neighborhood_80,74,0.05559459459459459,0.16216216216216217
neighborhood_81,102,0.05493137254901961,0.13725490196078433
neighborhood_5,5986,0.05209989976612095,0.17006348145673236
neighborhood_58,59,0.05086440677966102,0.11864406779661017
neighborhood_70,523,0.05085516252390057,0.14149139579349904
neighborhood_64,531,0.047585687382297556,0.15630885122410546
neighborhood_55,162,0.04325925925925926,0.09259259259259259
neighborhood_43,221,0.04204072398190045,0.09049773755656108
neighborhood_57,62,0.04180645161290323,0.11290322580645161
neighborhood_17,500,0.041698,0.112
neighborhood_34,174,0.041511494252873565,0.11494252873563218
neighborhood_31,6104,0.041192578636959375,0.14187418086500656
neighborhood_22,11285,0.04094980062029242,0.15108551174124946
neighborhood_71,1549,0.04094318915429309,0.14525500322788895
neighborhood_11,82,0.04019512195121951,0.12195121951219512
neighborhood_2,19925,0.03912355081555834,0.13249686323713927
neighborhood_83,530,0.03886084905660377,0.11886792452830189
neighborhood_35,8971,0.038037732694236985,0.14546873258276669
neighborhood_50,516,0.036864825581395345,0.12015503875968993
neighborhood_20,186,0.03681048387096774,0.08064516129032258
neighborhood_37,17209,0.035269059794293685,0.1364983438898251
neighborhood_10,461,0.03376572668112798,0.06724511930585683
neighborhood_3,22146,0.032572981576808456,0.11369999096902375
neighborhood_41,155,0.032554838709677424,0.10967741935483871
neighborhood_61,146,0.031431506849315075,0.0547945205479452
neighborhood_56,184,0.030592391304347828,0.09782608695652174
neighborhood_12,591,0.02954906937394247,0.09475465313028765
neighborhood_4,6903,0.02875152107779226,0.0948862813269593
neighborhood_54,1327,0.027918990203466464,0.09495101733232857
neighborhood_18,2118,0.02756126062322946,0.10387157695939565
neighborhood_69,1021,0.02670617042115573,0.08129285014691479
neighborhood_84,593,0.026037099494097805,0.07082630691399663
neighborhood_24,389,0.026002570694087405,0.08483290488431877
neighborhood_62,1810,0.025863121546961326,0.09779005524861878
neighborhood_66,127,0.0252755905511811,0.07086614173228346
neighborhood_36,2511,0.025197929111907606,0.08084428514536042
neighborhood_13,5160,0.025166133720930232,0.09127906976744186
neighborhood_15,2668,0.023941341829085458,0.0828335832083958
neighborhood_6,745,0.02269026845637584,0.087248322147651
neighborhood_48,624,0.022623397435897436,0.06891025641025642
neighborhood_49,295,0.022322033898305085,0.0576271186440678
neighborhood_38,309,0.021828478964401293,0.08414239482200647
neighborhood_32,168,0.02168452380952381,0.07738095238095238
neighborhood_68,709,0.02085049365303244,0.07334273624823695
neighborhood_1,1085,0.020703225806451613,0.07096774193548387
neighborhood_45,346,0.020514450867052024,0.05491329479768786
neighborhood_46,1500,0.020234333333333333,0.06066666666666667
neighborhood_60,120,0.019858333333333332,0.05
neighborhood_47,1264,0.019321993670886075,0.060126582278481014
neighborhood_29,222,0.01927927927927928,0.07657657657657657
neighborhood_9,1714,0.01899095682613769,0.06359393232205368
neighborhood_7,4780,0.0186173640167364,0.058786610878661084
neighborhood_14,2879,0.01859881903438694,0.06460576589093435
neighborhood_51,121,0.0183801652892562,0.05785123966942149
neighborhood_65,6162,0.017078464784160988,0.062155144433625444
neighborhood_16,2226,0.015568171608265948,0.05525606469002695
neighborhood_26,1134,0.015502425044091711,0.0582010582010582
neighborhood_33,251,0.015362549800796812,0.04780876494023904
neighborhood_8,405,0.015034567901234568,0.05432098765432099
neighborhood_27,751,0.012613848202396805,0.041278295605858856
neighborhood_44,474,0.01260337552742616,0.04219409282700422
neighborhood_63,167,0.011832335329341317,0.029940119760479042
neighborhood_28,216,0.011782407407407406,0.046296296296296294
neighborhood_30,1790,0.011450837988826816,0.038547486033519554
,11546,0.0012567988913909577,0.004850164559154686
neighborhood_39,7,0.0,0.0
