family,n_features,test_auc,auc_drop
spatial,19,0.66878109666408,0.04502560377930598
temporal,11,0.6707843532755284,0.04302234716785758
speed,19,0.6868957149159403,0.026910985527445752
weather,17,0.708405391476604,0.005401308966782037
__baseline__,22,0.713806700443386,0.0
