family,n_features,test_auc,auc_drop
temporal,11,0.7390642484696278,0.0872196294075599
spatial,19,0.7841131110118937,0.042170766865293974
speed,19,0.821537555548229,0.004746322328958663
__baseline__,22,0.8262838778771877,0.0
weather,17,0.852555606592281,-0.026271728715093312
